2023/12/11 15:57:13:472292 : coordinates received #4
2023/12/11 15:57:14:077335 : image coordinates received
2023/12/11 15:57:14:095625 : coordinates received #5
2023/12/11 15:57:14:685256 : image coordinates received
2023/12/11 15:57:14:696236 : coordinates received #6
2023/12/11 15:57:15:296162 : image coordinates received
2023/12/11 15:57:15:314126 : coordinates received #7
2023/12/11 15:57:15:918363 : image coordinates received
2023/12/11 15:57:15:928321 : coordinates received #8
2023/12/11 15:57:16:527700 : image coordinates received
2023/12/11 15:57:16:536530 : coordinates received #9
2023/12/11 15:57:17:150529 : image coordinates received
2023/12/11 15:57:17:160141 : coordinates received #10
2023/12/11 15:57:17:759320 : image coordinates received
2023/12/11 15:57:17:769705 : coordinates received #11
2023/12/11 15:57:18:384128 : image coordinates received
2023/12/11 15:57:18:394131 : coordinates received #12
2023/12/11 15:57:18:993879 : image coordinates received
2023/12/11 15:57:19:000693 : coordinates received #13
2023/12/11 15:57:19:618547 : image coordinates received
2023/12/11 15:57:19:627391 : coordinates received #14
2023/12/11 15:57:20:243834 : image coordinates received
2023/12/11 15:57:20:262231 : coordinates received #15
2023/12/11 15:57:21:286581 : path request received
2023/12/11 15:57:21:296548 : path error sent [invalid number of images: 0]
2023/12/11 15:59:39:011028 : profiles received 
2023/12/11 15:59:39:034234 : ==== new cycle 2
2023/12/11 15:59:39:052906 : image coordinates received
2023/12/11 15:59:39:060596 : coordinates received #1
2023/12/11 15:59:39:629336 : image coordinates received
2023/12/11 15:59:39:638136 : coordinates received #2
2023/12/11 15:59:40:236836 : image coordinates received
2023/12/11 15:59:40:248109 : coordinates received #3
2023/12/11 15:59:40:861889 : image coordinates received
2023/12/11 15:59:40:872296 : coordinates received #4
2023/12/11 15:59:41:470731 : image coordinates received
2023/12/11 15:59:41:481520 : coordinates received #5
2023/12/11 15:59:42:097194 : image coordinates received
2023/12/11 15:59:42:105911 : coordinates received #6
2023/12/11 15:59:42:704771 : image coordinates received
2023/12/11 15:59:42:715360 : coordinates received #7
2023/12/11 15:59:43:328696 : image coordinates received
2023/12/11 15:59:43:339930 : coordinates received #8
2023/12/11 15:59:43:938911 : image coordinates received
2023/12/11 15:59:43:947869 : coordinates received #9
2023/12/11 15:59:44:565972 : image coordinates received
2023/12/11 15:59:44:575913 : coordinates received #10
2023/12/11 15:59:45:176909 : image coordinates received
2023/12/11 15:59:45:185723 : coordinates received #11
2023/12/11 15:59:45:795823 : image coordinates received
